UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,CanESM5,SSP245,0.23331814144095062,0.20128313235305842,0.2797154644670602,0.23046860162140287,0.3186674059309741,0.2595616087232979,0.3021010457056918,0.34544136709903983,0.3650182141633259
13,CanESM5,SSP245,0.6437943788496157,0.4962791696731573,0.6622258773252644,1.1709939462875074,2.7038314069624465,2.6445856947947575,2.1905835794279,1.9649678369134558,4.084986113355479
14,CanESM5,SSP245,0.5044295532695229,0.4946229381800333,0.6196427109756836,0.7135292717718531,1.7453548237277876,1.2227031298127227,1.1049863218558902,2.2339899803490177,1.5344999568816868
15,CanESM5,SSP245,0.24422061413995974,0.21294607535242144,0.28761595684520797,0.23940596103477696,0.34008075739602295,0.2781450710583961,0.2900250389980723,0.3803791565388313,0.4464907219006806
17,CanESM5,SSP245,0.17182576435291205,0.20612475961041204,0.22131286427984748,0.2994625103567885,0.2618521340550734,0.3381491108098426,0.42724193228819024,0.8118487096929574,0.4771854327646733
18,CanESM5,SSP245,0.3205994153850284,0.2423650574931622,0.2808207873554235,0.3122609811111865,0.48932021170434453,0.3785944252038389,0.4072396527200144,0.4923465377880994,0.6457838842475272
78,CanESM5,SSP245,0.2174013879362143,0.22819059434883945,0.2277611940443176,0.35200756121451365,0.43206283882743385,0.45082114166497717,0.408825510152571,0.4165763008736278,0.5106471993956135
85,CanESM5,SSP245,0.3277763371561275,0.29628758545468187,0.3764757884578168,0.44810022145811534,0.5893025887934551,0.6172106933474156,0.6415678945410961,0.688974114909824,0.7637083149087771
104,CanESM5,SSP245,0.13978850809917462,0.1397728949058718,0.1645844290666514,0.23161604594054008,0.22693971030927615,0.22253350959451101,0.23557252418359856,0.237442016087983,0.2770624137008595
118,CanESM5,SSP245,0.17392737679968215,0.20899017011794915,0.21412959904490544,0.2450896451487784,0.2687948282388615,0.3082852075020238,0.3467768481632945,0.5344903249809109,0.44236685008415466
