UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,GFDL-ESM4,SSP126,0.2195477407796797,0.2638040230225778,0.22650729648492124,0.2310108928110665,0.2664484683985128,0.22735785970547817,0.25030213546547836,0.24085682212897325,0.25340337759647996
13,GFDL-ESM4,SSP126,0.7423830465938475,0.557786132643234,0.5380355813774907,0.6803333853701916,0.6415769380350866,0.5021901979770282,0.6612679641077849,0.673077886412838,0.8047032381486446
14,GFDL-ESM4,SSP126,0.6581414447820303,0.7106502545077795,0.45272825379130055,0.7181311464587807,1.3299005942206636,0.9587155090273246,1.0362606503642997,0.7047035367492024,0.7741679300714512
15,GFDL-ESM4,SSP126,0.41891264919771426,0.34036698949791666,0.2778120082987167,0.3343237352758981,0.4258132460556591,0.36663650182195545,0.35098362794817867,0.4237401031207222,0.3634034141491861
17,GFDL-ESM4,SSP126,0.42769935191812164,0.3402277528965151,0.4159040029082493,0.2794708660543817,0.3033160778572865,0.33222551269199446,0.2873152785449718,0.29871461308391845,0.3079874910424631
18,GFDL-ESM4,SSP126,0.32804381672268995,0.34190707274294163,0.313085097531891,0.30622143819825465,0.37307563904488916,0.3213757424642708,0.29333466758788257,0.27810990387639295,0.2734564967748736
78,GFDL-ESM4,SSP126,0.2741353429647201,0.27154490943973225,0.30890319599785154,0.25675557816747757,0.2969925247936146,0.3298477273493838,0.25442817915319593,0.25117797406289294,0.23744147272372937
85,GFDL-ESM4,SSP126,0.3659320478374322,0.41599880427078745,0.2907377562904467,0.3418583258358064,0.4347510552845938,0.3025897058442503,0.39327516550776487,0.37231637359172554,0.4285708763766116
104,GFDL-ESM4,SSP126,0.25067863679965663,0.1928568487626328,0.20901121487441318,0.19890082991588962,0.19645630877985878,0.23080649989105118,0.19564632278018998,0.17623569946626141,0.17236815458982496
118,GFDL-ESM4,SSP126,0.3390085507761649,0.28215289893514167,0.2905190980114255,0.30063106628126707,0.258417315091903,0.2792079871741071,0.25766033932064064,0.29565225678184887,0.2669349472355633
120,GFDL-ESM4,SSP126,0.31429146936550806,0.2057454541099173,0.18963137495989404,0.235351181734903,0.21573834557810354,0.27635324872472694,0.1855001862386985,0.26835492894202767,0.2529520830835839
