UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,GFDL-ESM4,SSP126,7.944137059857491,6.961022617819497,6.086206656448079,6.875698797816266,7.366242182628308,6.588670480794515,7.3877860952055325,6.882301576287189,6.919552731334343
13,GFDL-ESM4,SSP126,60.268580702606364,47.806017319250394,49.957040395220204,52.05859971043493,51.57017382249516,47.19518791296345,50.9267305099023,52.60740553181812,48.79908380236983
14,GFDL-ESM4,SSP126,40.61728623871356,39.431317986891415,35.006286652689106,36.23253274468274,44.73240616518257,39.6683152139033,40.210990439873356,36.57189456234583,37.813868936741464
15,GFDL-ESM4,SSP126,8.876705113865725,7.139801130797443,6.238207913578017,7.332133667458122,7.9369504958625905,7.252487984009906,7.161326261763865,9.420312943814976,8.117549704368633
17,GFDL-ESM4,SSP126,2.8976015078631687,2.7714056682528208,3.0976290496725496,3.3463831133523567,4.062988434505552,2.6754649132998742,3.1889864109209536,5.588605848973267,2.4960844878195867
18,GFDL-ESM4,SSP126,4.647764078858059,4.718368786700111,4.381867062320408,5.054169580288047,4.351023613989592,4.127299927966288,5.599726141608706,4.920877648920353,4.574674153341156
78,GFDL-ESM4,SSP126,2.6733575848642155,2.77677317958039,2.5615202474668948,3.1062622066827568,3.282668713036077,2.559199642993085,3.021923726478824,4.12375686017392,2.5360582039412476
85,GFDL-ESM4,SSP126,38.243419514300946,26.58387059876257,34.949133886073824,35.87019704146359,30.9641640760004,33.82350581544086,34.42915265964505,37.478286403311664,38.339723777532534
104,GFDL-ESM4,SSP126,3.1970623030009384,2.47437492119749,2.5630518106781213,3.087210821647486,3.493426760979135,2.6960675173268114,3.46465222912896,3.558146792028058,1.990148600974276
118,GFDL-ESM4,SSP126,5.088477711242029,6.443443594097446,5.690809088771071,7.802778022767581,9.130273927258191,7.3085517357838885,8.686595876004802,8.878892337944842,5.878617634189529
120,GFDL-ESM4,SSP126,2.33002118057079,2.498450288944493,3.5714674112247935,2.2447559802988155,2.0174116354072513,2.19124576542223,1.7211588537101423,2.1111209959564423,1.978199051924625
121,GFDL-ESM4,SSP126,2.361113169407707,2.942863409756194,4.3178077246564746,2.7929513247142563,2.1094629264118505,2.875042206148948,2.0070133137452584,2.375346292536795,2.368251794191888
128,GFDL-ESM4,SSP126,4.483770727303526,3.5599520525346153,2.7979296428647253,2.989650142781017,4.485623031584194,3.927151090565326,3.9850985516212605,3.4730270301867323,3.5052605111514987
167,GFDL-ESM4,SSP126,5.5661437911039755,5.202074654091772,5.569303254121694,5.325037392929411,5.724875998524211,5.298451272537249,5.084256783505739,5.36691117727632,5.195774962204906
28,GFDL-ESM4,SSP126,5.82169673008502,5.856243231016538,6.870924810598026,5.753071680294885,5.622321175659021,5.653928071147686,5.195081231778456,5.148190930388397,3.9681629921726613
29,GFDL-ESM4,SSP126,4.003773868885486,4.139834523378629,4.266980589737511,3.9232241025254364,3.919194448142333,3.854824787205224,3.4627406061771224,3.642544676281158,3.3275329293359577
82,GFDL-ESM4,SSP126,4.580288974849874,6.315142415263156,5.366574577378737,6.191055680169809,6.840864527871823,8.373085695810625,7.117403687366186,8.379725162064984,7.6286625868471925
98,GFDL-ESM4,SSP126,4.060509099576217,3.3920087274848933,3.9461568034158985,3.499470608215273,3.9019552438078997,4.516169735216808,3.6435792060328613,3.2610795295803907,3.8221324667605603
110,GFDL-ESM4,SSP126,42.37716164853552,47.901124816870706,43.37524318752374,47.559848205482744,41.05491619411207,52.5868540387194,56.4668860487664,50.194784823793654,56.244175079265126
141,GFDL-ESM4,SSP126,14.057155123508595,15.606760701426717,15.711729549625346,14.749603002735721,14.721417911330052,16.755514196476323,21.454882844912643,15.555834679153993,19.741519529063442
142,GFDL-ESM4,SSP126,7.385094889727336,7.464805825438876,7.26564288665115,7.379444557645925,6.995548859335683,7.197918040974109,6.992480312415462,7.133270276031081,7.234871627759009
